地名,センター,燃えるごみ,燃えないごみ・古紙類,ペットボトル,缶,びん・古着類・白色トレイ・危険ごみ
赤山町1丁目～5丁目,Aセンター,月 木,20140408 20140422 20140506 20140520 20140603 20140617 20140701 20140715 20140729 20140812 20140826 20140902 20140923 20141007 20141021 20141104 20141118 20141202 20141216 20150106 20150120 20150203 20150217 20150303 20150317 20150331,20140401 20140415 20140429 20140513 20140527 20140610 20140624 20140708 20140722 20140805 20140819 20140902 20140916 20140930 20141014 20141028 20141111 20141125 20141209 20141223 20150113 20150127 20150210 20150224 20150310 20150324,20140411 20140425 20140509 20140523 20140606 20140620 20140704 20140718 20140801 20140815 20140829 20140912 20140926 20141010 20141024 20141107 20141121 20141205 20141219 20150109 20150123 20150206 20150220 20150306 20150320,20140404 20140418 20140502 20140516 20140530 20140613 20140627 20140711 20140725 20140808 20140822 20140905 20140919 20141003 20141017 20141031 20141114 20141128 20141212 20141226 20150116 20150130 20150213 20150227 20150313 20150327
赤山本町（全ての番地）,Aセンター,月 木,20140408 20140422 20140506 20140520 20140603 20140617 20140701 20140715 20140729 20140812 20140826 20140902 20140923 20141007 20141021 20141104 20141118 20141202 20141216 20150106 20150120 20150203 20150217 20150303 20150317 20150331,20140401 20140415 20140429 20140513 20140527 20140610 20140624 20140708 20140722 20140805 20140819 20140902 20140916 20140930 20141014 20141028 20141111 20141125 20141209 20141223 20150113 20150127 20150210 20150224 20150310 20150324,20140411 20140425 20140509 20140523 20140606 20140620 20140704 20140718 20140801 20140815 20140829 20140912 20140926 20141010 20141024 20141107 20141121 20141205 20141219 20150109 20150123 20150206 20150220 20150306 20150320,20140404 20140418 20140502 20140516 20140530 20140613 20140627 20140711 20140725 20140808 20140822 20140905 20140919 20141003 20141017 20141031 20141114 20141128 20141212 20141226 20150116 20150130 20150213 20150227 20150313 20150327
東町1丁目～4丁目（全ての番地）,Aセンター,水 土,20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140814 20140828 20140911 20140925 20141009 20141023 20141106 20141120 20141204 20141218 20150108 20150122 20150205 20150219 20150305 20150319,20140403 20140417 20140501 20140515 20140529 20140612 20140626 20140710 20140724 20140807 20140821 20140904 20140918 20141002 20141016 20141030 20141113 20141127 20141211 20141225 20150115 20150129 20150212 20150226 20150312 20150326,20140408 20140422 20140506 20140520 20140603 20140617 20140701 20140715 20140729 20140812 20140826 20140909 20140923 20141007 20141021 20141104 20141118 20141202 20141216 20150106 20150120 20150203 20150217 20150303 20150317 20150331,20140401 20140415 20140429 20140513 20140527 20140610 20140624 20140708 20140722 20140805 20140819 20140902 20140916 20140930 20141014 20141028 20141111 20141125 20141209 20141223 20150113 20150127 20150210 20150224 20150310 20150324
東町5丁目～7丁目（全ての番地）,Aセンター,水 土,20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922 20141006 20141020 20141103 20141117 20141201 20141215 20150105 20150119 20150202 20150216 20150302 20150316 20150330,20140414 20140428 20140512 20140526 20140609 20140623 20140707 20140721 20140804 20140818 20140901 20140915 20140929 20141013 20141027 20141110 20141124 20141208 20141222 20150112 20150126 20150209 20150223 20150309 20150323,20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140814 20140828 20140911 20140925 20141009 20141023 20141106 20141120 20141204 20141218 20150108 20150122 20150205 20150219 20150305 20150319,20140403 20140417 20140501 20140515 20140529 20140612 20140626 20140710 20140724 20140807 20140821 20140904 20140918 20141002 20141016 20141030 20141113 20141127 20141211 20141225 20150115 20150129 20150212 20150226 20150312 20150326
伊原1丁目・2丁目（全ての番地）,Aセンター,水 土,20140414 20140428 20140512 20140526 20140609 20140623 20140707 20140721 20140804 20140818 20140901 20140915 20140929 20141013 20141027 20141110 20141124 20141208 20141222 20150112 20150126 20150209 20150223 20150309 20150323,20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922 20141006 20141020 20141103 20141117 20141201 20141215 20150105 20150119 20150202 20150216 20150302 20150316 20150330,20140403 20140417 20140501 20140515 20140529 20140612 20140626 20140710 20140724 20140807 20140821 20140904 20140918 20141002 20141016 20141030 20141113 20141127 20141211 20141225 20150115 20150129 20150212 20150226 20150312 20150326,20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140814 20140828 20140911 20140925 20141009 20141023 20141106 20141120 20141204 20141218 20150108 20150122 20150205 20150219 20150305 20150319
大字大里（東武線の東側）,Aセンター,火 金,20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140813 20140827 20140910 20140924 20141008 20141022 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318,20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917 20141001 20141015 20141029 20141112 20141126 20141210 20141224 20150114 20150128 20150211 20150225 20150311 20150325,20140414 20140428 20140512 20140526 20140609 20140623 20140707 20140721 20140804 20140818 20140901 20140915 20140929 20141013 20141027 20141110 20141124 20141208 20141222 20150112 20150126 20150209 20150223 20150309 20150323,20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922 20141006 20141020 20141103 20141117 20141201 20141215 20150105 20150119 20150202 20150216 20150302 20150316 20150330
大字大里（東武線の西側）,Aセンター,月 木,20140411 20140425 20140509 20140523 20140606 20140620 20140704 20140718 20140801 20140815 20140829 20140912 20140926 20141010 20141024 20141107 20141121 20141205 20141219 20150109 20150123 20150206 20150220 20150306 20150320,20140404 20140418 20140502 20140516 20140530 20140613 20140627 20140711 20140725 20140808 20140822 20140905 20140919 20141003 20141017 20141031 20141114 20141128 20141212 20141226 20150116 20150130 20150213 20150227 20150313 20150327,20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924 20141008 20141022 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318,20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917 20141001 20141015 20141029 20141112 20141126 20141210 20141224 20150114 20150128 20150211 20150225 20150311 20150325
大沢（御料堀の南側～越谷野田線の北側）,Aセンター,火 金,20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917 20141001 20141015 20141029 20141112 20141126 20141210 20141224 20150114 20150128 20150211 20150225 20150311 20150325,20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140813 20140827 20140910 20140924 20141008 20141022 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318,20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922 20141006 20141020 20141103 20141117 20141201 20141215 20150105 20150119 20150202 20150216 20150302 20150316 20150330,20140414 20140428 20140512 20140526 20140609 20140623 20140707 20140721 20140804 20140818 20140901 20140915 20140929 20141013 20141027 20141110 20141124 20141208 20141222 20150112 20150126 20150209 20150223 20150309 20150323
大沢（御料堀の北側）,Aセンター,火 金,20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140813 20140827 20140910 20140924 20141008 20141022 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318,20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917 20141001 20141015 20141029 20141112 20141126 20141210 20141224 20150114 20150128 20150211 20150225 20150311 20150325,20140414 20140428 20140512 20140526 20140609 20140623 20140707 20140721 20140804 20140818 20140901 20140915 20140929 20141013 20141027 20141110 20141124 20141208 20141222 20150112 20150126 20150209 20150223 20150309 20150323,20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922 20141006 20141020 20141103 20141117 20141201 20141215 20150105 20150119 20150202 20150216 20150302 20150316 20150330
大沢（越谷野田線の南側）,Aセンター,火 金,20140403 20140417 20140501 20140515 20140529 20140612 20140626 20140710 20140724 20140807 20140821 20140904 20140918 20141002 20141016 20141030 20141113 20141127 20141211 20141225 20150115 20150129 20150212 20150226 20150312 20150326,20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140814 20140828 20140911 20140925 20141009 20141023 20141106 20141120 20141204 20141218 20150108 20150122 20150205 20150219 20150305 20150319,20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917 20141001 20141015 20141029 20141112 20141126 20141210 20141224 20150114 20150128 20150211 20150225 20150311 20150325,20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924 20141008 20141022 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318
大沢1丁目・2丁目（全ての番地）,Aセンター,火 金,20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917 20141001 20141015 20141029 20141112 20141126 20141210 20141224 20150114 20150128 20150211 20150225 20150311 20150325,20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140813 20140827 20140910 20140924 20141008 20141022 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318,20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922 20141006 20141020 20141103 20141117 20141201 20141215 20150105 20150119 20150202 20150216 20150302 20150316 20150330,20140414 20140428 20140512 20140526 20140609 20140623 20140707 20140721 20140804 20140818 20140901 20140915 20140929 20141013 20141027 20141110 20141124 20141208 20141222 20150112 20150126 20150209 20150223 20150309 20150323
大沢3丁目（北越谷東口駅前通線の南側で、足立越谷線の東側）,Aセンター,火 金,20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917 20141001 20141015 20141029 20141112 20141126 20141210 20141224 20150114 20150128 20150211 20150225 20150311 20150325,20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140813 20140827 20140910 20140924 20141008 20141022 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318,20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922 20141006 20141020 20141103 20141117 20141201 20141215 20150105 20150119 20150202 20150216 20150302 20150316 20150330,20140414 20140428 20140512 20140526 20140609 20140623 20140707 20140721 20140804 20140818 20140901 20140915 20140929 20141013 20141027 20141110 20141124 20141208 20141222 20150112 20150126 20150209 20150223 20150309 20150323
大沢3丁目（北越谷東口駅前通線の北側で、足立越谷線の西側）,Aセンター,火 金,20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140813 20140827 20140910 20140924 20141008 20141022 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318,20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917 20141001 20141015 20141029 20141112 20141126 20141210 20141224 20150114 20150128 20150211 20150225 20150311 20150325,20140414 20140428 20140512 20140526 20140609 20140623 20140707 20140721 20140804 20140818 20140901 20140915 20140929 20141013 20141027 20141110 20141124 20141208 20141222 20150112 20150126 20150209 20150223 20150309 20150323,20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922 20141006 20141020 20141103 20141117 20141201 20141215 20150105 20150119 20150202 20150216 20150302 20150316 20150330
大沢4丁目（越谷野田線の北側）,Aセンター,火 金,20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917 20141001 20141015 20141029 20141112 20141126 20141210 20141224 20150114 20150128 20150211 20150225 20150311 20150325,20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140813 20140827 20140910 20140924 20141008 20141022 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318,20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922 20141006 20141020 20141103 20141117 20141201 20141215 20150105 20150119 20150202 20150216 20150302 20150316 20150330,20140414 20140428 20140512 20140526 20140609 20140623 20140707 20140721 20140804 20140818 20140901 20140915 20140929 20141013 20141027 20141110 20141124 20141208 20141222 20150112 20150126 20150209 20150223 20150309 20150323
大沢4丁目（越谷野田線の南側）,Aセンター,火 金,20140403 20140417 20140501 20140515 20140529 20140612 20140626 20140710 20140724 20140807 20140821 20140904 20140918 20141002 20141016 20141030 20141113 20141127 20141211 20141225 20150115 20150129 20150212 20150226 20150312 20150326,20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140814 20140828 20140911 20140925 20141009 20141023 20141106 20141120 20141204 20141218 20150108 20150122 20150205 20150219 20150305 20150319,20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917 20141001 20141015 20141029 20141112 20141126 20141210 20141224 20150114 20150128 20150211 20150225 20150311 20150325,20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924 20141008 20141022 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318
大字大杉（新方川の東側）,Aセンター,火 金,20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917 20141001 20141015 20141029 20141112 20141126 20141210 20141224 20150114 20150128 20150211 20150225 20150311 20150325,20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140813 20140827 20140910 20140924 20141008 20141022 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318,20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922 20141006 20141020 20141103 20141117 20141201 20141215 20150105 20150119 20150202 20150216 20150302 20150316 20150330,20140414 20140428 20140512 20140526 20140609 20140623 20140707 20140721 20140804 20140818 20140901 20140915 20140929 20141013 20141027 20141110 20141124 20141208 20141222 20150112 20150126 20150209 20150223 20150309 20150323
大字大杉（新方川の西側）,Aセンター,火 金,20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140813 20140827 20140910 20140924 20141008 20141022 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318,20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917 20141001 20141015 20141029 20141112 20141126 20141210 20141224 20150114 20150128 20150211 20150225 20150311 20150325,20140414 20140428 20140512 20140526 20140609 20140623 20140707 20140721 20140804 20140818 20140901 20140915 20140929 20141013 20141027 20141110 20141124 20141208 20141222 20150112 20150126 20150209 20150223 20150309 20150323,20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922 20141006 20141020 20141103 20141117 20141201 20141215 20150105 20150119 20150202 20150216 20150302 20150316 20150330
大字大竹（全ての番地）,Aセンター,月 木,20140404 20140418 20140502 20140516 20140530 20140613 20140627 20140711 20140725 20140808 20140822 20140905 20140919 20141003 20141003 20141017 20141031 20141114 20141128 20141212 20141226 20150116 20150130 20150213 20150227 20150313 20150327,20140411 20140425 20140509 20140523 20140606 20140620 20140704 20140718 20140801 20140615 20140829 20140912 20140926 20141010 20141024 20141107 20141121 20141205 20141219 20150109 20150123 20150206 20150220 20150306 20150320,20140401 20140415 20140429 20140513 20140527 20140610 20140624 20140708 20140722 20140805 20140819 20140902 20140916 20140930 20141014 20141028 20141111 20141125 20141209 20141223 20150113 20150127 20150210 20150224 20150310 20150324,20140408 20140422 20140506 20140520 20140603 20140617 20140701 20140715 20140729 20140812 20140826 20140909 20140923 20141007 20141021 20141104 20141118 20141202 20141216 20150106 20150120 20150203 20150217 20150303 20150317 20150331
大字大泊（全ての番地）,Aセンター,火 金,20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917 20141001 20141015 20141029 20141112 20141126 20141210 20141224 20150114 20150128 20150211 20150225 20150311 20150325,20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140813 20140827 20140910 20140924 20141008 20141022 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318,20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922 20141006 20141020 20141103 20141117 20141201 20141215 20150105 20150119 20150202 20150216 20150302 20150316 20150330,20140414 20140428 20140512 20140526 20140609 20140623 20140707 20140721 20140804 20140818 20140901 20140915 20140929 20141013 20141027 20141110 20141124 20141208 20141222 20150112 20150126 20150209 20150223 20150309 20150323
大字大林（東武線の西側）,Aセンター,月 木,20140411 20140425 20140509 20140523 20140606 20140620 20140704 20140718 20140801 20140815 20140829 20140912 20140926 20141010 20141024 20141107 20141121 20141205 20141219 20150109 20150123 20150206 20150220 20150306 20150320,20140404 20140418 20140502 20140516 20140530 20140613 20140627 20140711 20140725 20140808 20140822 20140905 20140919 20141003 20141017 20141031 20141114 20141128 20141212 20141226 20150116 20150130 20150213 20150227 20150313 20150327,20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924 20141008 20141022 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318,20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917 20141001 20141015 20141029 20141112 20141126 20141210 20141224 20150114 20150128 20150211 20150225 20150311 20150325
大字大林（東武線の東側）,Aセンター,火 金,20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140813 20140827 20140910 20140924 20141008 20141022 20141105 20141119 20141203 20141217 20150107 20150121 20150204 20150218 20150304 20150318,20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917 20141001 20141015 20141029 20141112 20141126 20141210 20141224 20150114 20150128 20150211 20150225 20150311 20150325,20140414 20140428 20140512 20140526 20140609 20140623 20140707 20140721 20140804 20140818 20140901 20140915 20140929 20141013 20141027 20141110 20141124 20141208 20141222 20150112 20150126 20150209 20150223 20150309 20150323,20140407 20140421 20140505 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922 20141006 20141020 20141103 20141117 20141201 20141215 20150105 20150119 20150202 20150216 20150302 20150316 20150330
